movie;year;rating;directors;actors
Léon: The Professional;1994;8.5;Luc Besson;['Jean Reno', 'Gary Oldman']
Hara-Kiri;1962;8.5;Masaki Kobayash;['Tatsuya Nakadai', 'Akira Ishihama']
The Usual Suspects;1995;8.5;Bryan Singe;['Kevin Spacey', 'Gabriel Byrne']
The Lion King;1994;8.5;Roger Allers;['Matthew Broderick', 'Jeremy Irons']
The Pianist;2002;8.5;Roman Polansk;['Adrien Brody', 'Thomas Kretschmann']
Back to the Future;1985;8.5;Robert Zemeckis;['Michael J. Fox', 'Christopher Lloyd']
Terminator 2: Judgment Day;1991;8.5;James Cameron;['Arnold Schwarzenegger', 'Linda Hamilton']
American History X;1998;8.5;Tony Kaye;['Edward Norton', 'Edward Furlong']
Modern Times;1936;8.5;Charles Chaplin;['Charles Chaplin', 'Paulette Goddard']
Psycho;1960;8.5;Alfred Hitchcock;['Anthony Perkins', 'Janet Leigh']
Gladiator;2000;8.5;Ridley Scott;['Russell Crowe', 'Joaquin Phoenix']
City Lights;1931;8.5;Charles Chaplin;['Charles Chaplin', 'Virginia Cherrill']
The Departed;2006;8.5;Martin Scorsese;['Leonardo DiCaprio', 'Matt Damon']
The Intouchables;2011;8.5;Olivier Nakache;['François Cluzet', 'Omar Sy']
Whiplash;2014;8.5;Damien Chazelle;['Miles Teller', 'J.K. Simmons']
Grave of the Fireflies;1988;8.5;Isao Takahata;['Tsutomu Tatsumi', 'Ayano Shiraishi']
The Prestige;2006;8.5;Christopher Nolan;['Christian Bale', 'Hugh Jackman']
Once Upon a Time in the West;1968;8.4;Sergio Leone;['Henry Fonda', 'Charles Bronson']
Casablanca;1942;8.4;Michael Curtiz;['Humphrey Bogart', 'Ingrid Bergman']
Cinema Paradiso;1988;8.4;Giuseppe Tornatore;['Philippe Noiret', 'Enzo Cannavale']
Rear Window;1954;8.4;Alfred Hitchcock;['James Stewart', 'Grace Kelly']
Alien;1979;8.4;Ridley Scott;['Sigourney Weaver', 'Tom Skerritt']
Apocalypse Now;1979;8.4;Francis Ford Coppola;['Martin Sheen', 'Marlon Brando']
Memento;2000;8.4;Christopher Nolan;['Guy Pearce', 'Carrie-Anne Moss']
Hamilton;2020;8.4;Thomas Kail;['Lin-Manuel Miranda', 'Phillipa Soo']
The Great Dictator;1940;8.4;Charles Chaplin;['Charles Chaplin', 'Paulette Goddard']
Raiders of the Lost Ark;1981;8.4;Steven Spielberg;['Harrison Ford', 'Karen Allen']
Django Unchained;2012;8.4;Quentin Tarantino;['Jamie Foxx', 'Christoph Waltz']
The Lives of Others;2006;8.4;Florian Henckel von Donnersmarck;['Ulrich Mühe', 'Martina Gedeck']
Joker;2019;8.4;Todd Phillips;['Joaquin Phoenix', 'Robert De Niro']
Paths of Glory;1957;8.4;Stanley Kubrick;['Kirk Douglas', 'Ralph Meeker']
WALL·E;2008;8.4;Andrew Stanton;['Ben Burtt', 'Elissa Knight']
The Shining;1980;8.4;Stanley Kubrick;['Jack Nicholson', 'Shelley Duvall']
Avengers: Infinity War;2018;8.4;Anthony Russo;['Robert Downey Jr.', 'Chris Hemsworth']
Sunset Blvd.;1950;8.4;Billy Wilde;['William Holden', 'Gloria Swanson']
Witness for the Prosecution;1957;8.4;Billy Wilde;['Tyrone Power', 'Marlene Dietrich']
Oldboy;2003;8.3;Chan-wook Park;['Choi Min-sik', 'Yoo Ji-Tae']
Princess Mononoke;1997;8.3;Hayao Miyazak;['Yôji Matsuda', 'Yuriko Ishida']
Spider-Man: Into the Spider-Verse;2018;8.3;Bob Persichett;['Shameik Moore', 'Jake Johnson']
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;8.3;Stanley Kubrick;['Peter Sellers', 'George C. Scott']
The Dark Knight Rises;2012;8.3;Christopher Nolan;['Christian Bale', 'Tom Hardy']
Once Upon a Time in America;1984;8.3;Sergio Leone;['Robert De Niro', 'James Woods']
Aliens;1986;8.3;James Cameron;['Sigourney Weaver', 'Michael Biehn']
Your Name.;2016;8.3;Makoto Shinka;['Ryûnosuke Kamiki', 'Mone Kamishiraishi']
Coco;2017;8.3;Lee Unkrich;['Anthony Gonzalez', 'Gael García Bernal']
Avengers: Endgame;2019;8.3;Anthony Russo;['Robert Downey Jr.', 'Chris Evans']
American Beauty;1999;8.3;Sam Mendes;['Kevin Spacey', 'Annette Bening']
Braveheart;1995;8.3;Mel Gibson;['Mel Gibson', 'Sophie Marceau']
Das Boot;1981;8.3;Wolfgang Petersen;['Jürgen Prochnow', 'Herbert Grönemeyer']
3 Idiots;2009;8.3;Rajkumar Hiran;['Aamir Khan', 'Madhavan']
Toy Story;1995;8.3;John Lassete;['Tom Hanks', 'Tim Allen']
Capharnaüm;2018;8.3;Nadine Labak;['Zain Al Rafeea', 'Yordanos Shiferaw']
High and Low;1963;8.3;Akira Kurosawa;['Toshirô Mifune', 'Yutaka Sada']
Amadeus;1984;8.3;Milos Forman;['F. Murray Abraham', 'Tom Hulce']
Inglourious Basterds;2009;8.3;Quentin Tarantino;['Brad Pitt', 'Diane Kruger']
Star Wars: Episode VI - Return of the Jedi;1983;8.3;Richard Marquan;['Mark Hamill', 'Harrison Ford']
Good Will Hunting;1997;8.3;Gus Van Sant;['Robin Williams', 'Matt Damon']
Taare Zameen Par;2007;8.3;Aamir Khan;['Darsheel Safary', 'Aamir Khan']
Reservoir Dogs;1992;8.3;Quentin Tarantino;['Harvey Keitel', 'Tim Roth']
2001: A Space Odyssey;1968;8.3;Stanley Kubrick;['Keir Dullea', 'Gary Lockwood']
Requiem for a Dream;2000;8.3;Darren Aronofsky;['Ellen Burstyn', 'Jared Leto']
Vertigo;1958;8.3;Alfred Hitchcock;['James Stewart', 'Kim Novak']
M;1931;8.3;Fritz Lang;['Peter Lorre', 'Ellen Widmann']
The Hunt;2012;8.3;Thomas Vinterberg;['Mads Mikkelsen', 'Thomas Bo Larsen']
Eternal Sunshine of the Spotless Mind;2004;8.3;Michel Gondry;['Jim Carrey', 'Kate Winslet']
Citizen Kane;1941;8.3;Orson Welles;['Orson Welles', 'Joseph Cotten']
Dangal;2016;8.3;Nitesh Tiwa;['Aamir Khan', 'Sakshi Tanwar']
Full Metal Jacket;1987;8.2;Stanley Kubrick;['Matthew Modine', 'R. Lee Ermey']
Bicycle Thieves;1948;8.2;Vittorio De Sica;['Lamberto Maggiorani', 'Enzo Staiola']
Singin' in the Rain;1952;8.2;Stanley Donen;"['Gene Kelly', ""Donald O'Connor""]"
The Kid;1921;8.2;Charles Chaplin;['Charles Chaplin', 'Edna Purviance']
North by Northwest;1959;8.2;Alfred Hitchcock;['Cary Grant', 'Eva Marie Saint']
Snatch;2000;8.2;Guy Ritchie;['Jason Statham', 'Brad Pitt']
A Clockwork Orange;1971;8.2;Stanley Kubrick;['Malcolm McDowell', 'Patrick Magee']
1917;2019;8.2;Sam Mendes;['Dean-Charles Chapman', 'George MacKay']
Scarface;1983;8.2;Brian De Palma;['Al Pacino', 'Michelle Pfeiffer']
Come and See;1985;8.2;Elem Klimov;['Aleksey Kravchenko', 'Olga Mironova']
Ikiru;1952;8.2;Akira Kurosawa;['Takashi Shimura', 'Nobuo Kaneko']
Taxi Driver;1976;8.2;Martin Scorsese;['Robert De Niro', 'Jodie Foster']
Lawrence of Arabia;1962;8.2;David Lean;"[""Peter O'Toole"", 'Alec Guinness']"
Toy Story 3;2010;8.2;Lee Unkrich;['Tom Hanks', 'Tim Allen']
Amélie;2001;8.2;Jean-Pierre Jeunet;['Audrey Tautou', 'Mathieu Kassovitz']
A Separation;2011;8.2;Asghar Farha;['Payman Maadi', 'Leila Hatami']
The Sting;1973;8.2;George Roy Hill;['Paul Newman', 'Robert Redford']
Incendies;2010;8.2;Denis Villeneuve;['Lubna Azabal', 'Mélissa Désormeaux-Poulin']
Metropolis;1927;8.2;Fritz Lang;['Brigitte Helm', 'Alfred Abel']
For a Few Dollars More;1965;8.2;Sergio Leone;['Clint Eastwood', 'Lee Van Cleef']
The Apartment;1960;8.2;Billy Wilde;['Jack Lemmon', 'Shirley MacLaine']
Double Indemnity;1944;8.2;Billy Wilde;['Fred MacMurray', 'Barbara Stanwyck']
To Kill a Mockingbird;1962;8.2;Robert Mulligan;['Gregory Peck', 'John Megna']
Up;2009;8.2;Pete Docte;['Edward Asner', 'Jordan Nagai']
Indiana Jones and the Last Crusade;1989;8.2;Steven Spielberg;['Harrison Ford', 'Sean Connery']
Heat;1995;8.2;Michael Mann;['Al Pacino', 'Robert De Niro']
L.A. Confidential;1997;8.2;Curtis Hanson;['Kevin Spacey', 'Russell Crowe']
Die Hard;1988;8.2;John McTiernan;['Bruce Willis', 'Alan Rickman']
Green Book;2018;8.2;Peter Farrelly;['Viggo Mortensen', 'Mahershala Ali']
Monty Python and the Holy Grail;1975;8.2;Terry Gilliam;['Graham Chapman', 'John Cleese']
Yojimbo;1961;8.2;Akira Kurosawa;['Toshirô Mifune', 'Eijirô Tôno']
Batman Begins;2005;8.2;Christopher Nolan;['Christian Bale', 'Michael Caine']
Rashômon;1950;8.2;Akira Kurosawa;['Toshirô Mifune', 'Machiko Kyô']
Downfall;2004;8.2;Oliver Hirschbiegel;['Bruno Ganz', 'Alexandra Maria Lara']
Children of Heaven;1997;8.2;Majid Maj;['Mohammad Amir Naji', 'Amir Farrokh Hashemian']
Unforgiven;1992;8.2;Clint Eastwoo;['Clint Eastwood', 'Gene Hackman']
Ran;1985;8.2;Akira Kurosawa;['Tatsuya Nakadai', 'Akira Terao']
Some Like It Hot;1959;8.2;Billy Wilde;['Marilyn Monroe', 'Tony Curtis']
Howl's Moving Castle;2004;8.2;Hayao Miyazak;['Chieko Baishô', 'Takuya Kimura']
All About Eve;1950;8.2;Joseph L. Mankiewicz;['Bette Davis', 'Anne Baxter']
Casino;1995;8.2;Martin Scorsese;['Robert De Niro', 'Sharon Stone']
A Beautiful Mind;2001;8.2;Ron Howa;['Russell Crowe', 'Ed Harris']
The Great Escape;1963;8.2;John Sturges;['Steve McQueen', 'James Garner']
The Wolf of Wall Street;2013;8.2;Martin Scorsese;['Leonardo DiCaprio', 'Jonah Hill']
Pan's Labyrinth;2006;8.2;Guillermo del Toro;['Ivana Baquero', 'Ariadna Gil']
The Secret in Their Eyes;2009;8.1;Juan José Campanella;['Ricardo Darín', 'Soledad Villamil']
There Will Be Blood;2007;8.1;Paul Thomas Anderson;['Daniel Day-Lewis', 'Paul Dano']
Lock, Stock and Two Smoking Barrels;1998;8.1;Guy Ritchie;['Jason Flemyng', 'Dexter Fletcher']
My Neighbor Totoro;1988;8.1;Hayao Miyazak;['Hitoshi Takagi', 'Noriko Hidaka']
Raging Bull;1980;8.1;Martin Scorsese;['Robert De Niro', 'Cathy Moriarty']
Judgment at Nuremberg;1961;8.1;Stanley Krame;['Spencer Tracy', 'Burt Lancaster']
The Treasure of the Sierra Madre;1948;8.1;John Huston;['Humphrey Bogart', 'Walter Huston']
Dial M for Murder;1954;8.1;Alfred Hitchcock;['Ray Milland', 'Grace Kelly']
Three Billboards Outside Ebbing, Missouri;2017;8.1;Martin McDonagh;['Frances McDormand', 'Woody Harrelson']
Shutter Island;2010;8.1;Martin Scorsese;['Leonardo DiCaprio', 'Emily Mortimer']
The Gold Rush;1925;8.1;Charles Chaplin;['Charles Chaplin', 'Mack Swain']
Chinatown;1974;8.1;Roman Polansk;['Jack Nicholson', 'Faye Dunaway']
Babam ve Oglum;2005;8.1;Çagan Irmak;['Çetin Tekindor', 'Fikret Kuskan']
No Country for Old Men;2007;8.1;Ethan Coen;['Tommy Lee Jones', 'Javier Bardem']
V for Vendetta;2005;8.1;James McTeigue;['Hugo Weaving', 'Natalie Portman']
